Rank,Platform,Name,Year,Genre,Publisher,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global
18,PS2,Grand Theft Auto: San Andreas,2004,Action,Take-Two Interactive,9.43,0.4,0.41,10.57,20.81
25,PS2,Grand Theft Auto: Vice City,2002,Action,Take-Two Interactive,8.41,5.49,0.47,1.78,16.15
29,PS2,Gran Turismo 3: A-Spec,2001,Racing,Sony Computer Entertainment,6.85,5.09,1.87,1.16,14.98
39,PS2,Grand Theft Auto III,2001,Action,Take-Two Interactive,6.99,4.51,0.3,1.3,13.1
48,PS2,Gran Turismo 4,2004,Racing,Sony Computer Entertainment,3.01,0.01,1.1,7.53,11.66
87,PS2,Final Fantasy X,2001,Role-Playing,Sony Computer Entertainment,2.91,2.07,2.73,0.33,8.05
105,PS2,Need for Speed Underground,2003,Racing,Electronic Arts,3.27,2.83,0.08,1.02,7.2
114,PS2,Need for Speed Underground 2,2004,Racing,Electronic Arts,2.71,3.02,0.08,1.09,6.9
115,PS2,Medal of Honor: Frontline,2002,Shooter,Electronic Arts,2.93,2.75,0.17,0.99,6.83
132,PS2,Kingdom Hearts,2002,Role-Playing,Sony Computer Entertainment,3.64,1.2,1.49,0.07,6.4
143,PS2,Metal Gear Solid 2: Sons of Liberty,2001,Action,Konami Digital Entertainment,2.45,2.01,0.87,0.72,6.05
148,PS2,Final Fantasy XII,2006,Role-Playing,Square Enix,1.88,0,2.33,1.74,5.95
168,PS2,Crash Bandicoot: The Wrath of Cortex,2001,Platform,Universal Interactive,2.07,2.29,0.24,0.82,5.42
175,PS2,Final Fantasy X-2,2003,Role-Playing,Electronic Arts,1.92,1.08,2.11,0.17,5.29
180,PS2,Madden NFL 2004,N/A,Sports,Electronic Arts,4.26,0.26,0.01,0.71,5.23
181,PS2,Dragon Quest VIII: Journey of the Cursed King,2004,Role-Playing,Square Enix,0.65,0.75,3.61,0.2,5.21
191,PS2,Medal of Honor: Rising Sun,2003,Shooter,Electronic Arts,1.98,2.23,0.13,0.8,5.13
196,PS2,Guitar Hero II,2006,Misc,RedOctane,3.81,0.63,0,0.68,5.12
208,PS2,Guitar Hero III: Legends of Rock,2007,Misc,Activision,3.49,0.01,0.01,1.48,4.98
212,PS2,Madden NFL 06,2005,Sports,Electronic Arts,3.98,0.26,0.01,0.66,4.91
225,PS2,The Simpsons: Hit & Run,2003,Racing,Vivendi Games,1.73,2.19,0,0.79,4.7
228,PS2,The Lord of the Rings: The Two Towers,2002,Action,Electronic Arts,1.94,1.95,0.08,0.7,4.67
239,PS2,Madden NFL 2005,2004,Sports,Electronic Arts,4.18,0.26,0.01,0.08,4.53
241,PS2,Madden NFL 07,2006,Sports,Electronic Arts,3.63,0.24,0.01,0.61,4.49
242,PS2,Spider-Man: The Movie,2002,Action,Activision,2.71,1.51,0.03,0.23,4.48
246,PS2,God of War,2005,Action,Sony Computer Entertainment,2.71,1.29,0.02,0.43,4.45
249,PS2,Tony Hawk's Pro Skater 3,2001,Sports,Activision,2.66,1.29,0.01,0.46,4.41
250,PS2,Winning Eleven: Pro Evolution Soccer 2007,2006,Sports,Konami Digital Entertainment,0.1,2.39,1.05,0.86,4.39
253,PS2,Need for Speed: Most Wanted,2005,Racing,Electronic Arts,2.03,1.79,0.08,0.47,4.37
256,PS2,Kingdom Hearts II,2005,Role-Playing,Square Enix,2.2,0.58,1.38,0.17,4.33
266,PS2,Metal Gear Solid 3: Snake Eater,2004,Action,Konami Digital Entertainment,1.46,0,0.83,1.93,4.23
270,PS2,FIFA Soccer 06,2005,Sports,Electronic Arts,0.78,2.55,0.04,0.84,4.21
271,PS2,EyeToy Play,2003,Misc,Sony Computer Entertainment,0.88,2.3,0.2,0.83,4.2
280,PS2,Madden NFL 2003,2002,Sports,Electronic Arts,3.36,0.21,0.01,0.56,4.14
284,PS2,FIFA Soccer 07,2006,Sports,Electronic Arts,0.71,2.48,0.03,0.89,4.11
291,PS2,God of War II,2007,Action,Sony Computer Entertainment,2.32,0.04,0.04,1.67,4.07
293,PS2,World Soccer Winning Eleven 9,2005,Sports,Konami Digital Entertainment,0.12,2.26,0.9,0.77,4.06
295,PS2,Tekken Tag Tournament,2000,Fighting,Namco Bandai Games,1.68,1.51,0.51,0.35,4.05
303,PS2,Namco Museum: 50th Anniversary,2005,Misc,Namco Bandai Games,2.08,1.35,0,0.54,3.98
307,PS2,Tony Hawk's Underground,2003,Sports,Activision,2.29,1.17,0.01,0.42,3.9
312,PS2,Tekken 5,2005,Fighting,Namco Bandai Games,0.93,1.94,0.31,0.7,3.87
316,PS2,World Soccer Winning Eleven 8 International,2004,Sports,Konami Digital Entertainment,0.16,1.89,1.12,0.68,3.85
335,PS2,FIFA Soccer 2005,2004,Sports,Electronic Arts,0.58,2.48,0.04,0.59,3.7
340,PS2,Tony Hawk's Pro Skater 4,2002,Sports,Activision,2.13,1.18,0.01,0.35,3.67
343,PS2,SOCOM: U.S. Navy SEALs,2002,Shooter,Sony Computer Entertainment,2.53,0.81,0.06,0.24,3.65
346,PS2,Jak and Daxter: The Precursor Legacy,2001,Platform,Sony Computer Entertainment,2.08,1.09,0.15,0.33,3.64
349,PS2,Pro Evolution Soccer 2008,2007,Sports,Konami Digital Entertainment,0.05,0,0.64,2.93,3.63
351,PS2,Resident Evil 4,2005,Action,Capcom,2.08,0.83,0.46,0.25,3.62
353,PS2,Star Wars: Battlefront,2004,Shooter,LucasArts,1.93,1.22,0.03,0.44,3.61
355,PS2,The Simpsons: Road Rage,2001,Racing,Electronic Arts,2.02,1.17,0,0.42,3.61
358,PS2,Star Wars: Battlefront II,2005,Shooter,LucasArts,2.18,1.02,0.03,0.37,3.59
361,PS2,Grand Theft Auto: Liberty City Stories,2006,Action,Take-Two Interactive,1.56,1.4,0.07,0.5,3.54
362,PS2,The Getaway,2002,Action,Sony Computer Entertainment,1.23,1.77,0.05,0.49,3.54
364,PS2,James Bond 007: Agent Under Fire,2001,Shooter,Electronic Arts,1.9,1.13,0.1,0.41,3.53
365,PS2,LEGO Star Wars: The Video Game,2005,Action,Eidos Interactive,1.98,1.14,0.01,0.41,3.53
378,PS2,FIFA Soccer 2004,N/A,Sports,Electronic Arts,0.59,2.36,0.04,0.51,3.49
386,PS2,Tekken 4,2002,Fighting,Namco Bandai Games,1.55,1.27,0.33,0.29,3.44
391,PS2,Spider-Man 2,2004,Action,Activision,1.75,1.2,0.02,0.43,3.41
393,PS2,FIFA Soccer 2003,2002,Sports,Electronic Arts,0.46,2.28,0.05,0.61,3.4
404,PS2,James Bond 007: Nightfire,2002,Shooter,Electronic Arts,1.45,1.29,0.12,0.46,3.33
405,PS2,Ratchet & Clank,2002,Platform,Sony Computer Entertainment,1.44,1.01,0.57,0.3,3.33
407,PS2,Star Wars Episode III: Revenge of the Sith,2005,Action,LucasArts,1.47,1.39,0.03,0.43,3.32
408,PS2,Max Payne,2001,Shooter,Take-Two Interactive,1.99,1.05,0.05,0.22,3.31
409,PS2,The Lord of the Rings: The Return of the King,2003,Action,Electronic Arts,1.5,1.28,0.05,0.46,3.28
412,PS2,True Crime: Streets of LA,2003,Action,Activision,1.89,1.05,0.02,0.31,3.27
429,PS2,Enter the Matrix,2003,Action,Atari,1.78,1.12,0.09,0.19,3.18
434,PS2,Ace Combat 04: Shattered Skies,2001,Simulation,Sony Computer Entertainment Europe,2.06,0.56,0.38,0.17,3.17
441,PS2,FIFA Soccer 08,2007,Sports,Electronic Arts,0.68,0,0,2.46,3.14
451,PS2,Dragon Ball Z: Budokai,2002,Fighting,Atari,2.17,0.28,0.55,0.08,3.09
452,PS2,Madden NFL 2002,2001,Sports,Electronic Arts,2.5,0.16,0.01,0.42,3.08
467,PS2,WWE SmackDown! Shut Your Mouth,2002,Sports,THQ,1.45,1.13,0.07,0.38,3.02
470,PS2,Dragon Ball Z: Budokai Tenkaichi 3,2007,Fighting,Atari,1.15,0,0.76,1.09,3
471,PS2,wwe Smackdown vs. Raw 2006,N/A,Fighting,N/A,1.57,1.02,0,0.41,3
475,PS2,World Soccer Winning Eleven 6 International,2002,Sports,Konami Digital Entertainment,0.12,1.26,1.16,0.45,2.99
476,PS2,Devil May Cry,2001,Action,Capcom,1.36,0.86,0.64,0.13,2.99
481,PS2,Sonic Heroes,2003,Platform,Sega,1.04,1.37,0.06,0.49,2.96
483,PS2,Hitman 2: Silent Assassin,2002,Action,Eidos Interactive,1.36,1.15,0.04,0.41,2.96
486,PS2,SOCOM II: U.S. Navy SEALs,2003,Shooter,Sony Computer Entertainment,2.22,0.51,0.06,0.15,2.94
487,PS2,WWE SmackDown! vs. RAW 2006,2005,Fighting,THQ,1.45,1.11,0.04,0.33,2.94
496,PS2,Sonic Mega Collection Plus,2004,Misc,Sega,1.54,1.14,0,0.22,2.9
498,PS2,World Soccer Winning Eleven 7 International,2003,Sports,Konami Digital Entertainment,0.08,1.24,1.13,0.45,2.9
500,PS2,Hot Shots Golf 3,2001,Sports,Sony Computer Entertainment,0.99,0.32,1.38,0.2,2.89
501,PS2,Call of Duty: Finest Hour,2004,Shooter,Activision,1.51,1.12,0.01,0.24,2.89
519,PS2,WWE SmackDown! vs. Raw,2002,Fighting,THQ,1.32,1.08,0.04,0.39,2.83
525,PS2,WWE SmackDown! Here Comes the Pain,2003,Fighting,THQ,1.32,1.06,0.04,0.38,2.8
531,PS2,WWF SmackDown! Just Bring It,2001,Fighting,THQ,1.19,1.15,0.04,0.41,2.79
535,PS2,NBA Street,2001,Sports,Electronic Arts,2.19,0.22,0,0.38,2.79
538,PS2,Jak II,2003,Platform,Sony Computer Entertainment,1.68,0.74,0,0.36,2.78
540,PS2,Ratchet & Clank: Going Commando,2003,Platform,Sony Computer Entertainment,1.44,0.83,0.26,0.25,2.78
542,PS2,The Sims,2003,Simulation,Electronic Arts,1.41,1.12,0,0.24,2.77
553,PS2,Onimusha: Warlords,2001,Action,Virgin Interactive,0.99,0.48,1.09,0.14,2.7
557,PS2,LEGO Star Wars II: The Original Trilogy,2006,Action,LucasArts,1.85,0.64,0.01,0.19,2.69
561,PS2,Burnout 3: Takedown,2004,Racing,Electronic Arts,1.23,1.11,0,0.34,2.68
566,PS2,Call Of Duty 2: Big Red One,2005,Shooter,Activision,1.48,0.92,0.01,0.26,2.67
571,PS2,Tom Clancy's Splinter Cell,2003,Action,Ubisoft,1.15,1.11,0,0.4,2.65
577,PS2,Midnight Club: Street Racing,2000,Racing,Take-Two Interactive,2,0.47,0.02,0.14,2.63
581,PS2,ESPN NFL 2K5,2004,Sports,Sega,2.15,0.12,0,0.36,2.62
587,PS2,Harry Potter and the Chamber of Secrets,2002,Action,Electronic Arts,0.9,1.22,0.04,0.44,2.61
592,PS2,NBA Live 2005,2004,Sports,Electronic Arts,2.03,0.21,0,0.35,2.59
597,PS2,WWE SmackDown vs. RAW 2007,2006,Fighting,THQ,1.4,0.88,0.03,0.26,2.58
598,PS2,Ratchet & Clank: Up Your Arsenal,2004,Platform,Sony Computer Entertainment,1.31,0.74,0.31,0.22,2.57
601,PS2,Madden NFL 08,2007,Sports,Electronic Arts,2.14,0.08,0,0.35,2.57
609,PS2,Crazy Taxi,2001,Racing,Acclaim Entertainment,1.13,1.12,0.06,0.22,2.52
615,PS2,PES 2009: Pro Evolution Soccer,2008,Sports,Konami Digital Entertainment,0.13,0.07,0.26,2.05,2.5
620,PS2,Mortal Kombat: Deadly Alliance,2002,Fighting,Midway Games,1.81,0.52,0,0.15,2.49
635,PS2,The Sims: Bustin' Out,2003,Simulation,Electronic Arts,1.07,1.19,0,0.18,2.43
641,PS2,Dragon Ball Z: Budokai 2,2003,Fighting,Atari,1.63,0.22,0.51,0.06,2.41
642,PS2,ATV Offroad Fury,2001,Racing,Sony Computer Entertainment,2.07,0.26,0,0.08,2.41
645,PS2,Need for Speed: ProStreet,2007,Racing,Electronic Arts,0.69,0,0.04,1.68,2.41
658,PS2,Guitar Hero,2005,Misc,RedOctane,1.67,0.61,0.03,0.07,2.38
665,PS2,Yu-Gi-Oh! The Duelists of the Roses,2001,Misc,Konami Digital Entertainment,1.16,0.91,0,0.3,2.38
668,PS2,The Incredibles,2004,Action,THQ,0.96,1.08,0.04,0.3,2.37
