Decada,Name,Platform,Global_Sales
1980,Super Mario Bros.,NES,40.24
1980,Tetris,GB,30.26
1980,Duck Hunt,NES,28.31
1980,Super Mario Land,GB,18.14
1980,Super Mario Bros. 3,NES,17.28
1980,Pac-Man,2600,7.81
1980,Super Mario Bros. 2,NES,7.46
1980,The Legend of Zelda,NES,6.51
1980,Tetris,NES,5.58
1980,Dr. Mario,GB,5.34
1990,Pokemon Red/Pokemon Blue,GB,31.37
1990,Pokemon Gold/Pokemon Silver,GB,23.1
1990,Super Mario World,SNES,20.61
1990,Pokémon Yellow: Special Pikachu Edition,GB,14.64
1990,Super Mario 64,N64,11.89
1990,Super Mario Land 2: 6 Golden Coins,GB,11.18
1990,Gran Turismo,PS,10.95
1990,Super Mario All-Stars,SNES,10.55
1990,Mario Kart 64,N64,9.87
1990,Final Fantasy VII,PS,9.72
2000,Wii Sports,Wii,82.74
2000,Mario Kart Wii,Wii,35.82
2000,Wii Sports Resort,Wii,33
2000,New Super Mario Bros.,DS,30.01
2000,Wii Play,Wii,29.02
2000,New Super Mario Bros. Wii,Wii,28.62
2000,Nintendogs,DS,24.76
2000,Mario Kart DS,DS,23.42
2000,Wii Fit,Wii,22.72
2000,Wii Fit Plus,Wii,22
2010,Kinect Adventures!,X360,21.82
2010,Grand Theft Auto V,PS3,21.4
2010,Grand Theft Auto V,X360,16.38
2010,Pokemon Black/Pokemon White,DS,15.32
2010,Call of Duty: Modern Warfare 3,X360,14.76
2010,Call of Duty: Black Ops,X360,14.64
2010,Pokemon X/Pokemon Y,3DS,14.35
2010,Call of Duty: Black Ops 3,PS4,14.24
2010,Call of Duty: Black Ops II,PS3,14.03
2010,Call of Duty: Black Ops II,X360,13.73
