Decade,Year,Name, Platform,Global_Sales
1980,1982,Pac-Man,2600,7.81
1980,1988,Super Mario Bros. 2,NES,7.46
1980,1986,The Legend of Zelda,NES,6.51
1980,1988,Tetris,NES,5.58
1980,1989,Dr. Mario,GB,5.34
1980,1985,Super Mario Bros.,NES,40.24
1980,1981,Pitfall!,2600,4.5
1980,1987,Zelda II: The Adventure of Link,NES,4.38
1980,1980,Asteroids,2600,4.31
1980,1989,Teenage Mutant Ninja Turtles,NES,4.17
1990,1996,Mario Kart 64,N64,9.87
1990,1997,Final Fantasy VII,PS,9.72
1990,1999,Gran Turismo 2,PS,9.49
1990,1994,Donkey Kong Country,SNES,9.3
1990,1992,Super Mario Kart,SNES,8.76
1990,1997,GoldenEye 007,N64,8.09
1990,1999,Final Fantasy VIII,PS,7.86
1990,1998,The Legend of Zelda: Ocarina of Time,N64,7.6
1990,1997,Crash Bandicoot 2: Cortex Strikes Back,PS,7.58
1990,1998,Tekken 3,PS,7.16
2000,2007,Call of Duty 4: Modern Warfare,X360,9.32
2000,2007,Mario Party DS,DS,9.02
2000,2006,Wii Sports,Wii,82.74
2000,2004,Halo 2,XB,8.49
2000,2007,Mario Party 8,Wii,8.42
2000,2009,The Sims 3,PC,8.11
2000,2007,Mario & Sonic at the Olympic Games,Wii,8.06
2000,2001,Final Fantasy X,PS2,8.05
2000,2008,Pokémon Platinum Version,DS,7.84
2000,2005,Grand Theft Auto: Liberty City Stories,PSP,7.72
2010,2010,Halo: Reach,X360,9.88
2010,2012,New Super Mario Bros. 2,3DS,9.82
2010,2012,Halo 4,X360,9.76
2010,2013,Call of Duty: Ghosts,PS3,9.59
2010,2010,Just Dance 2,Wii,9.52
2010,2013,Minecraft,X360,9.2
2010,2012,Animal Crossing: New Leaf,3DS,9.09
2010,2011,The Elder Scrolls V: Skyrim,X360,8.84
2010,2015,FIFA 16,PS4,8.49
2010,2010,Wii Party,Wii,8.49
